

     REGION 1A BOYS' CROSS COUNTRY CHAMPIONSHIP

          OCTOBER 24, 1985

          5000 METERS

          NORTHERN HILLS GOLF COURSE     ROCHESTER, MINNESOTA



PLACE  NAME                     SCORE

   1  Elgin-Millville              39
   2  Rochester Lourdes            56
   3  Zumbrota-Kenyon              97
   4  Winona Cotter               142
   5  Plainview                   163
   6  La Crescent                 168
   7  Lewiston                    171
   8  Waseca                      187
   9  Lake City                   194
  10  Stewartville                223
  11  St. Charles                 281
  12  Byron                       353
  13  Pine Island                 395
  14  Kasson-Mantorville          431
  15  Austin Pacelli                *
  16  Caledonia                     *

