

     REGION 1A GIRLS' CROSS COUNTRY CHAMPIONSHIP

          OCTOBER 29, 1987

          3200 METERS

          NORTHERN HILLS GOLF COURSE     ROCHESTER, MINNESOTA



PLACE  NAME                     SCORE

   1  Lake City                    68
   2  Plainview                    68
   3  Elgin-Millville              85
   4  Rochester Lourdes            90
   5  Dover-Eyota/St. Charles     107
   6  Waseca                      165
   7  Winona Cotter               205
   8  Zumbrota-Mazeppa/Kenyon     237
   9  La Crescent                 266
  10  Lewiston/Altura             294
  11  Pine Island                 312
  12  Byron                       316
  13  Kasson-Mantorville          329
  14  Stewartville                370
  15  Austin Pacelli                *
  16  Caledonia/Spring Grove        *
  17  Ellendale-Geneva              *

