

     REGION 1A BOYS' CROSS COUNTRY CHAMPIONSHIP                  

          OCTOBER 26, 1989         

          5000 METERS              

          NORTHERN HILLS GOLF COURSE     ROCHESTER, MN                


   FINISH ORDER
   ------------
    IND   TEAM       NAME                          TIME     GRADE     SCHOOL

     85    85       Aakre Chad                    20:43.2     11     Kasson-Mantorville       
      8     8       Allen Dave                    17:27.1     11     Dover-Eyota/St. Charles  
      4     4       Anderson Kent                 17:03.1     10     Stewartville             
      2     2       Anderson Scott                16:48.0     11     Elgin-Millville          
      7     7       Baardseth Joel                17:26.5     12     LaCrescent               
     79    79       Bickler Justin                20:24.3      8     Austin Pacelli           
     91    91       Biedermann Aaron              21:02.2      9     Austin Pacelli           
     54    54       Bierbaum Dirk                 19:38.7     12     Dover-Eyota/St. Charles  
     72    72       Boes Andy                     20:03.1     10     Austin Pacelli           
     84    84       Boes Billy                    20:42.8      7     Austin Pacelli           
     52    52       Boettcher Mike                19:35.9     11     Dover-Eyota/St. Charles  
     17    17       Brennan Mike                  18:20.9     12     Rochester Lourdes        
    100   100       Bromeland Matt                21:42.5      9     Lewiston                 
     67    67       Brown Justin                  19:56.4      8     Plainview                
    107   107       Buckwalter Pat                24:33.1     10     Kasson-Mantorville       
     10    10       Burt Matt                     17:36.5     10     Pine Island              
     92    92       Cabaya Ty                     21:10.6     10     Byron                    
     58    58       Cavagnetto Andy               19:41.1      8     Plainview                
      5     5       Cogswell Trevor               17:05.8     12     Plainview                
     69    69       Coyle Dave                    19:57.0     11     Austin Pacelli           
     56    56       Currit Nate                   19:40.2     11     Byron                    
     32    32       Daood Jeff                    18:52.6     12     Elgin-Millville          
     43    43       Eversman Robby                19:10.8      9     Plainview                
     97    97       Favre Mark                    21:32.1      8     Rochester Lourdes        
    106   106       Fiksen Chris                  23:47.2     11     Kasson-Mantorville       
     74    74       Garry Tim                     20:09.5     12     Austin Pacelli           
     40    40       Goplin Brian                  19:06.2     12     Pine Island              
     66    66       Gorvin David                  19:49.3     12     Pine Island              
     82    82       Gronseth Mike                 20:36.9     12     Byron                    
     77    77       Guenther Joe                  20:22.3      8     Elgin-Millville          
     24    24       Guggenbuehl Jeff              18:40.9     10     LaCrescent               
     50    50       Haaland David                 19:27.2      9     Byron                    
     11    11       Hampl Marc                    17:45.6     11     Kenyon/Wanam/Zumbro-Mazep
     21    21       Hartzell Chris                18:29.5     10     Dover-Eyota/St. Charles  
     15    15       Heather Trent                 18:07.0     12     Dover-Eyota/St. Charles  
     93    93       Heilman Tony                  21:15.5      9     LaCrescent               
     12    12       Himmer Mark                   17:51.1     12     Elgin-Millville          
     25    25       Holst Tanner                  18:42.8     10     Plainview                
     23    23       Holtz Chris                   18:32.7     11     Kasson-Mantorville       
     80    80       Huffman Tom                   20:27.4      9     Austin Pacelli           
     28    28       Humfeld Don                   18:47.8     12     LaCrescent               
     78    78       Huntziker Eric                20:23.4     10     Rochester Lourdes        
     62    62       Hutchinson Mike               19:45.7     12     Stewartville             
     87    87       Jasick Martin                 20:46.2      8     Kenyon/Wanam/Zumbro-Mazep
    109   109       Jasick Nick                   26:18.5      7     Kenyon/Wanam/Zumbro-Mazep
     48    48       Jensen Hans                   19:25.9     10     Stewartville             
